Verb,target,Government,Narrative,Art,Corporation,Game,Humans in general,User,Image,Object,Creator,Law enforcement,Environment,Military
Conserved,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
Conserving,TRUE,1,2,0,1,0,0,0,0,0,0,0,0,0
Controlled,FALSE,0,2,2,0,1,1,2,1,1,0,0,0,0
Controlling,TRUE,5,10,8,6,6,1,7,0,0,2,2,0,1
Conversating,TRUE,0,0,0,0,1,1,0,0,0,0,0,0,0
Convincing,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Coordinating,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,1
Copied,FALSE,0,1,0,0,0,0,0,0,1,0,0,0,0
Countersurveilling,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Covering,TRUE,0,0,2,0,0,0,0,0,1,1,0,0,0
Created,FALSE,0,0,2,0,0,0,0,2,0,0,0,0,0
Creating,TRUE,0,1,3,0,0,1,1,0,0,2,0,0,0
Criticising,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Critiquing,TRUE,0,0,4,0,0,0,0,0,0,4,0,0,0
Crowdsourcing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Curated,FALSE,0,0,2,0,0,0,0,2,0,0,0,0,0
Curating,TRUE,0,1,15,0,0,0,0,0,0,16,0,0,0
Cut,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Dancing,TRUE,0,0,1,0,1,0,2,0,0,0,0,0,0
Decaying,TRUE,0,0,1,0,0,0,0,0,0,0,0,1,0
Deceiving,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Deciding,TRUE,0,2,2,2,1,0,1,0,0,2,0,0,0
Decolonizing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Decorating,TRUE,0,1,2,0,0,1,1,0,0,1,0,0,0
Decoying,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Deduced,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0
Deleted,FALSE,0,1,0,0,0,0,0,1,0,0,0,0,0
Demonstrating,TRUE,0,0,21,0,0,0,1,4,0,16,0,0,0
Depicting,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Described,FALSE,0,0,2,0,0,1,0,1,0,0,0,0,0
Desiring,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Destroyed,FALSE,0,1,1,0,0,0,0,1,0,0,0,1,0
Destroying,TRUE,0,2,0,0,0,1,0,0,0,0,0,0,1
Detected,FALSE,0,1,9,0,1,0,7,0,4,0,0,0,0
Developing,TRUE,0,0,10,1,0,0,0,0,0,9,0,0,0
Digitalized,FALSE,0,0,1,0,0,0,0,0,1,0,0,0,0
Directing,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Disappearing,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0
Discovering,TRUE,0,1,3,1,1,0,2,0,0,2,0,0,0
Discriminating,TRUE,0,1,1,1,0,0,0,0,0,0,1,0,0
Discussing,TRUE,1,2,0,1,0,0,0,0,0,0,0,0,0
Disempowered,FALSE,0,1,0,0,0,0,1,0,0,0,0,0,0
Disguising,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Disliking,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Displayed,FALSE,0,0,4,0,0,1,1,2,0,0,0,0,0
Displaying,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Disseminating,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Distorted,FALSE,0,0,5,0,0,0,1,4,0,0,0,0,0
Distorting,TRUE,0,0,2,0,0,0,0,0,2,0,0,0,0
Documented,FALSE,0,4,3,0,0,3,0,0,0,0,1,3,0
Documenting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Donating,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0
Doubting,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0
Drawing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Editing,TRUE,0,1,0,0,0,0,0,0,0,1,0,0,0
Embellishing,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Emoting,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Employing,TRUE,0,2,0,2,0,0,0,0,0,0,0,0,0
Empowered,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Enabling,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Enduring,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Enjoying,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Entering,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Entertained,FALSE,0,4,1,1,0,3,1,0,0,0,0,0,0
Entertaining,TRUE,0,1,1,0,0,1,0,0,0,1,0,0,0
Erasing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Estranged,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0
Evaded,FALSE,1,2,0,0,0,0,0,0,0,0,1,0,0
Evading,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Evaluating,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Examining,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Exchanged,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Excluding,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Exhausting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Experiencing,TRUE,0,1,1,0,0,1,1,0,0,0,0,0,0
Experimenting,TRUE,0,0,6,0,0,0,1,0,0,5,0,0,0
Explaining,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Exploited,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0
Exploiting,TRUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Exploring,TRUE,0,1,12,1,1,0,10,0,0,3,0,0,0
Exposed,FALSE,0,1,3,0,0,3,1,0,0,0,0,0,0
Exposing,TRUE,0,0,3,0,0,0,0,1,1,1,0,0,0
Expressing,TRUE,0,0,4,0,1,1,4,0,0,0,0,0,0
Extracted,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0
Extracting,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Fading,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Failing,TRUE,0,1,1,1,0,0,0,1,0,0,0,0,0
Faking,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Fascinated,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Fed,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Feeding,TRUE,0,1,5,0,1,0,1,0,0,6,0,0,0
Feeling,TRUE,0,1,1,0,0,2,0,0,0,0,0,0,0
Fighting,TRUE,0,2,0,0,1,1,0,0,0,1,1,0,0
Filmed,FALSE,0,0,1,0,0,0,0,0,0,0,1,0,0
Filming,TRUE,0,1,1,0,0,1,1,0,0,0,0,0,0
Filtered,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Filtering,TRUE,0,0,2,0,0,0,2,0,0,0,0,0,0
Finding,TRUE,0,1,1,0,0,1,0,0,0,1,0,0,0
Fixing,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0
Following,TRUE,0,0,3,0,0,1,1,0,0,1,0,0,0
Found,FALSE,0,1,0,0,0,0,0,0,1,0,0,0,0
Framed,FALSE,0,0,0,1,1,0,0,0,0,0,0,0,0
Frustrated,FALSE,0,0,1,0,0,0,0,0,0,1,0,0,0
Generated,FALSE,0,0,14,0,0,0,0,14,0,0,0,0,0
Gesturing,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Giving,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Grimacing,TRUE,0,0,2,0,1,0,3,0,0,0,0,0,0
Guided,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,1
Guiding,TRUE,0,0,3,1,2,0,2,0,0,1,1,0,0
Hacked,FALSE,1,1,1,2,3,0,0,0,1,0,1,0,0
Hacking,TRUE,0,1,11,0,2,1,4,0,0,9,0,0,0
Harassing,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Helped,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Helping,TRUE,0,2,0,1,0,1,0,0,0,0,0,0,0
Hidden,FALSE,0,0,1,1,1,0,0,0,0,0,0,0,1
Hiding,TRUE,0,0,8,0,1,1,8,0,0,0,0,0,0
Highjacking,TRUE,0,0,2,0,0,0,1,0,0,1,0,0,0
Hunted,FALSE,0,0,0,0,2,1,1,0,0,0,0,0,0
Hunting,TRUE,1,3,0,0,1,1,1,0,0,0,0,0,1
Hypothesizing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Identified,FALSE,0,5,3,1,3,7,1,0,0,1,1,0,0
Identifying,TRUE,1,2,2,1,1,0,2,0,0,0,0,0,1
Ignoring,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Imagining,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Immersing,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Imposing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Including,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Influenced,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0
Influencing,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Informed,FALSE,0,1,1,1,1,1,1,0,0,0,0,0,0
Informing,TRUE,0,2,0,0,1,1,0,0,0,1,0,0,1
Inspiring,TRUE,0,2,4,0,0,0,0,0,0,6,0,0,0
Installing,TRUE,0,1,1,1,0,0,0,0,0,1,0,0,0
Instructing,TRUE,2,2,0,0,0,0,0,0,0,0,0,0,0
Integrated,FALSE,0,1,0,0,0,0,0,1,0,0,0,0,0
Interacting,TRUE,0,0,3,0,0,0,3,0,0,0,0,0,0
Intercepting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Interpreted,FALSE,0,0,4,0,0,0,0,4,0,0,0,0,0
Interpreting,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Interviewing,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Intruding,TRUE,1,0,2,0,1,0,1,0,0,1,0,0,0
Invading,TRUE,0,1,0,0,0,0,1,0,0,0,0,0,0
Inventing,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Inverting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Investigated,FALSE,0,1,1,1,0,0,0,0,1,0,0,0,0
Investigating,TRUE,0,0,2,0,2,0,2,0,0,2,0,0,0
Investing,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0
Judged,FALSE,0,0,2,0,0,0,2,0,0,0,0,0,0
Judging,TRUE,0,1,2,0,0,2,1,0,0,0,0,0,0
Juxtapositioning,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Killed,FALSE,0,6,0,0,2,4,0,0,0,0,1,0,3
Killing,TRUE,2,6,1,0,1,1,2,0,0,0,1,0,2
Labeled,FALSE,0,3,7,0,0,3,0,6,1,0,0,0,0
Labeling,TRUE,0,0,2,0,0,0,1,0,0,1,0,0,0
Launching,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,1
Law-enforcing,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,1
Layered,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Learning,TRUE,0,0,3,0,2,1,4,0,0,0,0,0,0
Limited,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0
Located,FALSE,0,1,0,0,1,1,1,0,0,0,0,0,0
Locating,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,1
Looking,TRUE,0,1,1,0,1,1,1,0,0,1,0,0,0
Loved,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Managed,FALSE,0,0,1,0,0,0,0,0,0,0,0,1,0
Managing,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0
Manipulated,FALSE,0,1,2,0,1,1,1,2,0,0,0,0,0
Manipulating,TRUE,0,1,2,0,0,1,2,0,0,0,0,0,0
Mapped,FALSE,0,2,1,0,0,1,0,0,0,0,0,2,0
Mapping,TRUE,0,0,3,0,0,0,0,0,1,2,0,0,0
Marginalized,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0
Masked,FALSE,0,1,3,0,0,1,2,0,0,1,0,0,0
Masking,TRUE,0,1,0,0,0,0,0,0,1,0,0,0,0
Matched,FALSE,0,0,3,0,0,0,3,0,0,0,0,0,0
Measured,FALSE,0,0,3,0,1,1,3,0,0,0,0,0,0
Mediating,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Merged,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Merging,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Mimicking,TRUE,0,0,4,0,1,0,4,1,0,0,0,0,0
Mirrored,FALSE,0,0,3,0,0,0,3,0,0,0,0,0,0
Mirroring,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Misidentified,FALSE,0,1,0,0,0,1,0,0,0,0,0,0,0
Misinforming,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Misinterpreted,FALSE,0,0,3,0,0,0,0,2,0,1,0,0,0
Misleading,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Misrepresented,FALSE,0,0,1,0,0,0,0,0,0,0,0,1,0
Misusing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Mocking,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Modified,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,0
Monetized,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Monitored,FALSE,0,4,2,0,3,5,1,0,0,0,1,1,1
Monitoring,TRUE,3,5,2,5,8,1,5,0,0,0,1,0,0
Morphing,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Moving,TRUE,0,0,5,0,0,0,2,0,1,2,0,0,0
Multiplied,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Narrating,TRUE,0,0,2,0,0,0,0,1,0,1,0,0,0
Navigating,TRUE,0,0,2,0,1,0,3,0,0,0,0,0,0
Negotiating,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Obfuscated,FALSE,0,0,2,0,0,0,1,1,0,0,0,0,0
Obfuscating,TRUE,0,0,10,1,0,0,0,1,8,0,0,0,0
Obscuring,TRUE,0,0,1,0,0,0,0,0,1,0,0,0,0
Observed,FALSE,0,1,2,0,1,2,0,0,1,0,0,0,1
Observing,TRUE,1,1,10,0,2,3,9,0,0,0,0,0,0
Obstructed,FALSE,0,1,0,0,0,0,0,0,0,0,1,0,0
Oppressed,FALSE,0,2,1,0,1,2,1,0,0,1,0,0,0
Oppressing,TRUE,5,5,2,2,4,0,0,0,0,0,2,0,2
Orchestrating,TRUE,0,0,0,1,1,0,0,0,0,0,0,0,0
Ordering,TRUE,1,2,0,1,0,0,0,0,0,0,0,0,0
Outsourcing,TRUE,0,0,2,1,0,0,0,0,0,1,0,0,0
Overloading,TRUE,0,0,1,0,0,0,0,0,1,0,0,0,0
Overwhelmed,FALSE,0,0,2,0,0,0,2,0,0,0,0,0,0
Overwhelming,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0
Overworking,TRUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Owning,TRUE,0,0,1,1,0,0,0,0,0,0,0,0,0
Painting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Panicking,TRUE,0,2,0,0,0,1,0,0,0,0,1,0,0
Participating,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Passive,FALSE,0,1,1,0,0,1,0,0,1,0,0,0,0
Patrolling,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0
Perceiving,TRUE,0,0,2,0,0,0,1,0,0,1,0,0,0
Performing,TRUE,0,0,4,0,0,1,1,0,0,2,0,0,0
Persuading,TRUE,0,2,0,1,0,1,0,0,0,0,0,0,0
Photographed,FALSE,0,0,6,0,0,2,3,0,0,1,0,0,0
Photographing,TRUE,0,0,6,0,1,0,3,0,0,4,0,0,0
Picking,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Pirating,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Placing,TRUE,0,0,2,0,0,0,1,0,0,1,0,0,0
Planning,TRUE,0,1,0,1,2,1,0,0,0,0,0,0,1
Playing,TRUE,0,3,4,0,1,3,5,0,0,0,0,0,0
Policed,FALSE,0,0,0,0,1,1,0,0,0,0,0,0,0
Policing,TRUE,0,0,0,0,2,0,1,0,0,0,1,0,0
Posing,TRUE,0,0,22,0,0,2,17,0,0,3,0,0,0
Pranking,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Pressuring,TRUE,0,2,0,1,0,1,0,0,0,0,0,0,0
Pretending,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Produced,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Producing,TRUE,0,1,2,1,0,1,0,0,0,1,0,0,0
Prohibiting,TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0
Projected,FALSE,1,1,3,1,1,0,1,2,0,0,0,0,0
Promoting,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Protected,FALSE,0,0,2,0,0,0,2,0,0,0,0,0,0
Protecting,TRUE,1,1,6,0,2,0,2,0,6,0,0,0,0
Protesting,TRUE,0,2,1,0,0,2,1,0,0,0,0,0,0
Provoking,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Published,FALSE,0,0,4,0,0,0,0,4,0,0,0,0,0
Publishing,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Purchasing,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Questioning,TRUE,0,2,2,0,1,1,0,0,0,2,2,0,0
Reacting,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0
Read,FALSE,0,0,1,0,0,0,0,0,1,0,0,0,0
Reading,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Realizing,TRUE,0,1,2,0,0,2,1,0,0,0,0,0,0
Reassuring,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,0
Receiving,TRUE,0,0,2,0,0,0,1,0,0,1,0,0,0
Recognised,FALSE,0,2,3,0,0,0,0,1,3,0,0,1,0
Recognising,TRUE,0,0,1,0,0,1,0,0,0,0,0,0,0
Reconstructed,FALSE,0,0,2,0,0,0,0,0,0,0,0,2,0
Recorded,FALSE,0,7,4,1,1,2,5,0,0,0,2,2,0
Recording,TRUE,1,4,3,2,0,1,1,0,0,2,0,0,0
Reflecting,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Registered,FALSE,0,1,0,0,0,0,0,0,0,0,0,1,0
Remembered,FALSE,0,0,1,0,0,0,0,0,0,0,0,1,0
Reminded,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,0
Reminiscing,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Repeating,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Replaced,FALSE,0,1,2,0,0,0,1,1,0,0,0,1,0
Replacing,TRUE,1,3,0,1,0,0,1,0,0,0,0,0,0
Replicated,FALSE,0,0,1,0,0,0,0,0,1,0,0,0,0
Reported,FALSE,0,0,0,0,2,2,0,0,0,0,0,0,0
Reporting,TRUE,0,0,1,0,4,1,4,0,0,0,0,0,0
Represented,FALSE,0,0,1,0,0,0,0,0,0,0,0,1,0
Representing,TRUE,0,0,4,0,0,0,0,4,0,0,0,0,0
Researching,TRUE,0,2,1,2,1,0,1,0,0,1,0,0,0
Restricing,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,1
Revealed,FALSE,0,4,5,0,0,1,0,2,2,0,0,4,0
Revealing,TRUE,0,0,7,0,1,0,1,2,0,5,0,0,0
Reverse-engineering,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Reversing,TRUE,0,0,4,0,0,0,0,0,0,4,0,0,0
Safeguarding,TRUE,0,1,0,0,0,1,0,0,0,0,0,0,0
Saved,FALSE,0,0,1,0,0,0,0,1,0,0,0,0,0
Saving,TRUE,0,0,0,0,1,0,1,0,0,0,0,0,0
Scanned,FALSE,0,6,6,0,1,3,3,0,4,3,0,0,0
Scanning,TRUE,0,1,0,0,2,1,1,0,0,0,0,0,1
Scaring,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Scouting,TRUE,0,0,0,0,5,0,4,0,0,0,0,0,1
Searching,TRUE,1,3,2,2,3,0,1,0,0,1,2,0,1
Securing,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,1
Seeing,TRUE,0,1,3,0,0,1,3,0,0,0,0,0,0
Selecting,TRUE,0,1,19,1,0,0,1,0,0,18,0,0,0
Selling,TRUE,0,2,1,2,0,0,0,0,0,1,0,0,0
Sending,TRUE,0,0,1,0,0,0,0,0,0,1,0,0,0
Shaping,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Shared,FALSE,0,2,2,0,0,1,0,1,1,0,1,0,0
Sharing,TRUE,0,1,1,0,0,0,0,0,0,2,0,0,0
Shooting,TRUE,0,1,0,0,1,0,0,0,0,0,1,0,1
Showing,TRUE,0,0,1,0,0,0,1,0,0,0,0,0,0
Signaling,TRUE,0,0,1,0,0,0,0,0,1,0,0,0,0
Simulated,FALSE,0,1,1,0,0,0,1,0,0,0,0,1,0
Simulating,TRUE,1,2,1,1,0,0,0,1,0,0,0,0,0
